experiment_id,category,eval_lang,problem_type,model_type,model,vectorization,dataset_type,dataset_size,use_description,train_lang,f1_averaged,f1_all,hyperparameters,model_parameters,timestamp,vectorization_type,f1
logit_magellan_with_description_1,phone,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.4344137955084391,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:24.140304,,
logit_magellan_with_description_1,phone,en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.4397208603129288,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:21.900050,,
logit_magellan_with_description_1,phone,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.3634347868002745,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:26.859099,,
logit_magellan_with_description_1,phone,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.3234031484122343,,"{'C': 8.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:29.099077,,
logit_magellan_with_description_1,toy,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.7254901960784313,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:26:58.300611,,
logit_magellan_with_description_1,toy,en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.635043033576041,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:26:55.869101,,
logit_magellan_with_description_1,toy,es-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.6333601523592256,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:00.499402,,
logit_magellan_with_description_1,toy,fr-en,pairwise,baseline,logistic-regression,magellan,standard,small,True,en,0.5796450638644517,,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 600, 'n_jobs': -2}",,2021-02-22 20:27:03.540429,,
logit_magellan_wo_description_1,phone,de-en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.31993565472080376,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:14.988374,,
logit_magellan_wo_description_1,phone,en,pairwise,baseline,logistic-regression,magellan,standard,small,False,en,0.3671995369653295,,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 200, 'n_jobs': -2}",,2021-02-22 20:52:14.160886,,
