experiment_id,category,eval_lang,problem_type,model_type,vectorization,model,dataset_size,use_description,train_lang,f1_averaged,f1_all,hyperparameters,model_parameters,timestamp,dataset_type
phone_multiclass_svm__binary_title_en-de,phone,de,multiclass,baseline,binary,svm,,False,en-de,0.6902604399464665,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-14-31,
phone_multiclass_svm__binary_title_en-de+de,phone,de,multiclass,baseline,binary,svm,,False,"en-de, de",0.8206473311100779,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-26-26,
phone_multiclass_svm__binary_title_en-es,phone,es,multiclass,baseline,binary,svm,,False,en-es,0.701644816071087,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-18-37,
phone_multiclass_svm__binary_title_en-fr,phone,fr,multiclass,baseline,binary,svm,,False,en-fr,0.6232306293829847,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 19-21-32,
phone_multiclass_svm__tf-idf_title_en-de,phone,de,multiclass,baseline,tf-idf,svm,,False,en-de,0.6102678977041034,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-28-24,
phone_multiclass_svm__tf-idf_title_en-de+de,phone,de,multiclass,baseline,tf-idf,svm,,False,"en-de, de",0.7467933190426305,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-35-10,
phone_multiclass_svm__tf-idf_title_en-es,phone,es,multiclass,baseline,tf-idf,svm,,False,en-es,0.6810627928455837,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-30-20,
phone_multiclass_svm__tf-idf_title_en-fr,phone,fr,multiclass,baseline,tf-idf,svm,,False,en-fr,0.5525092576799704,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 19-32-01,
phone_pairwise_svm_large_cooc_all_de,phone,de,pairwise,baseline,cooc,svm,large,True,de,0.7580951947431225,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-08-12,
phone_pairwise_svm_large_cooc_all_en,phone,de,pairwise,baseline,cooc,svm,large,True,en,0.564625850340136,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-07-37,
